gas_ppm,tilt_deg,vibration_g,label
585.9,21.41,0.48,critical
401.0,10.48,0.252,elevated
55.4,1.94,0.07,safe
613.0,21.03,0.722,critical
78.6,2.22,0.045,safe
584.2,29.1,0.677,critical
323.6,7.3,0.174,elevated
675.4,25.09,0.746,critical
370.4,11.18,0.355,elevated
344.8,8.01,0.326,elevated
362.8,10.51,0.165,elevated
100.1,2.01,0.08,safe
585.4,23.94,0.463,critical
669.7,28.01,0.519,critical
295.7,11.38,0.297,elevated
89.3,14.69,0.354,elevated
81.7,2.87,0.028,safe
338.8,14.47,0.332,elevated
396.8,12.58,0.248,elevated
588.2,31.7,0.449,critical
673.9,23.91,0.553,critical
753.3,20.13,0.486,critical
643.9,19.59,0.627,critical
687.0,17.24,0.508,critical
591.7,34.2,0.395,critical
576.6,4.57,0.049,elevated
326.9,9.83,0.228,elevated
294.3,9.12,0.243,elevated
702.1,32.41,0.461,critical
636.3,16.88,0.466,critical
51.5,4.09,0.077,safe
68.0,1.99,0.016,safe
335.8,11.47,0.326,elevated
327.2,8.25,0.226,elevated
70.3,2.1,0.052,safe
364.7,11.31,0.244,elevated
69.4,2.95,0.064,safe
273.2,7.49,0.168,elevated
342.1,12.2,0.387,elevated
530.6,23.12,0.397,critical
333.0,5.42,0.276,elevated
609.1,27.53,0.567,critical
289.6,11.2,0.176,elevated
95.2,2.76,0.02,safe
83.5,1.86,0.085,safe
648.1,18.48,0.993,critical
353.0,5.55,0.284,elevated
82.3,2.34,0.101,safe
259.1,11.83,0.15,elevated
322.6,9.56,0.373,elevated
84.3,0.34,0.032,safe
606.4,37.15,0.526,critical
83.9,1.44,0.024,safe
590.4,17.49,0.47,critical
281.5,6.27,0.159,elevated
78.8,4.08,0.02,safe
220.0,17.67,0.259,elevated
99.5,1.17,0.047,safe
333.8,11.18,0.236,elevated
64.3,3.63,0.055,safe
85.9,0.29,0.057,safe
98.0,1.73,0.047,safe
506.2,3.62,0.066,elevated
324.0,9.36,0.199,elevated
95.5,1.58,0.063,safe
755.6,9.37,0.649,critical
86.3,17.91,0.455,elevated
87.2,2.02,0.075,safe
724.8,21.11,1.048,critical
429.8,15.25,0.368,elevated
356.4,12.8,0.133,elevated
68.0,2.77,0.054,safe
647.4,11.73,0.518,critical
602.6,22.42,0.604,critical
75.1,1.47,0.037,safe
56.1,2.4,0.039,safe
743.8,30.33,0.791,critical
85.5,3.64,0.062,safe
306.3,8.34,0.1,elevated
651.9,29.31,0.55,critical
656.0,27.64,0.706,critical
672.3,26.19,0.739,critical
582.5,31.31,0.319,critical
619.2,26.5,0.422,critical
636.6,18.33,0.611,critical
617.2,29.16,0.602,critical
629.1,26.11,0.818,critical
73.5,16.5,0.42,elevated
315.0,7.84,0.193,elevated
98.3,2.34,0.045,safe
89.2,0.0,0.086,safe
333.1,13.63,0.186,elevated
68.2,2.48,0.071,safe
