gas_ppm,tilt_deg,vibration_g,label,gas_risk,tilt_risk,vibration_risk,structural_risk,joint_risk
585.9,21.41,0.48,critical,0.732375,0.7136666666666667,0.48,0.5968333333333333,0.6646041666666667
401.0,10.48,0.252,elevated,0.50125,0.34933333333333333,0.252,0.30066666666666664,0.4009583333333333
55.4,1.94,0.07,safe,0.06924999999999999,0.06466666666666666,0.07,0.06733333333333333,0.06829166666666667
613.0,21.03,0.722,critical,0.76625,0.7010000000000001,0.722,0.7115,0.738875
78.6,2.22,0.045,safe,0.09824999999999999,0.07400000000000001,0.045,0.059500000000000004,0.078875
584.2,29.1,0.677,critical,0.7302500000000001,0.9700000000000001,0.677,0.8235000000000001,0.7768750000000001
323.6,7.3,0.174,elevated,0.4045,0.24333333333333332,0.174,0.20866666666666667,0.3065833333333333
675.4,25.09,0.746,critical,0.84425,0.8363333333333334,0.746,0.7911666666666667,0.8177083333333333
370.4,11.18,0.355,elevated,0.46299999999999997,0.37266666666666665,0.355,0.36383333333333334,0.41341666666666665
344.8,8.01,0.326,elevated,0.431,0.267,0.326,0.2965,0.36375
362.8,10.51,0.165,elevated,0.4535,0.35033333333333333,0.165,0.25766666666666665,0.35558333333333336
100.1,2.01,0.08,safe,0.125125,0.06699999999999999,0.08,0.0735,0.0993125
585.4,23.94,0.463,critical,0.73175,0.798,0.463,0.6305000000000001,0.681125
669.7,28.01,0.519,critical,0.837125,0.9336666666666668,0.519,0.7263333333333334,0.7817291666666667
295.7,11.38,0.297,elevated,0.369625,0.37933333333333336,0.297,0.33816666666666667,0.3538958333333333
89.3,14.69,0.354,elevated,0.111625,0.48966666666666664,0.354,0.4218333333333333,0.26672916666666663
81.7,2.87,0.028,safe,0.10212500000000001,0.09566666666666666,0.028,0.06183333333333333,0.08197916666666667
338.8,14.47,0.332,elevated,0.4235,0.48233333333333334,0.332,0.4071666666666667,0.41533333333333333
396.8,12.58,0.248,elevated,0.496,0.41933333333333334,0.248,0.33366666666666667,0.41483333333333333
588.2,31.7,0.449,critical,0.7352500000000001,1.0,0.449,0.7245,0.729875
673.9,23.91,0.553,critical,0.842375,0.797,0.553,0.675,0.7586875
753.3,20.13,0.486,critical,0.9416249999999999,0.6709999999999999,0.486,0.5785,0.7600625
643.9,19.59,0.627,critical,0.804875,0.653,0.627,0.64,0.7224375000000001
687.0,17.24,0.508,critical,0.85875,0.5746666666666667,0.508,0.5413333333333333,0.7000416666666667
591.7,34.2,0.395,critical,0.7396250000000001,1.0,0.395,0.6975,0.7185625
576.6,4.57,0.049,elevated,0.72075,0.15233333333333335,0.049,0.10066666666666668,0.41070833333333334
326.9,9.83,0.228,elevated,0.40862499999999996,0.32766666666666666,0.228,0.2778333333333333,0.34322916666666664
294.3,9.12,0.243,elevated,0.367875,0.304,0.243,0.27349999999999997,0.3206875
